Evidence_ID,Person_ID,Event_ID,Claim_Supported,Source_Title,Source_Publisher,Source_URL,Publication_Date,Source_Type,Primary_or_Secondary,Archived_URL,Date_Accessed,Relevant_Excerpt_or_Summary,Evidence_Strength
EV0038,Unknown,E112,"GirlCodeHack 2024 (10th annual, first pan-African): 31 Aug-1 Sep 2024 at MTN Group Headquarters; 10+ African cities; SDG theme; top-3 teams named as teams — PrincessCare (menstrual",GirlCode's first pan-African Hackathon tackles global pressing issues,ITWeb,https://www.itweb.co.za/article/girlcodes-first-pan-african-hackathon-tackles-global-pressing-issues/rW1xL75nYzPMRk6m,2024-09-05,News article,Secondary,Unknown,2026-08-26,"GirlCodeHack 2024 (10th annual, first pan-African): 31 Aug-1 Sep 2024 at MTN Group Headquarters; 10+ African cities; SDG theme; top-3 teams named as teams — PrincessCare (menstrual health buy-one-give-one), Binary Brains 1 (farm-produce web app), Hackers Squad (SDG 4 education); overall winner (trip to America) not stated in article; supporter Vuma; founder-CEO Zandile Mkwanazi (organiser, excluded from contestant records)",Strong
EV0039,P0346,E113,"UmojaHack Africa #1: Saturday 22 March 2020; 1000 students from 56 universities in 15 African countries; ~$20k prizes (Microsoft, African Bank, Google AI, GIZ, Liquid Telecom, Inst",Looking back at UmojaHack 2020,Zindi (umojahack.africa),https://umojahack.africa/2021/03/01/umojahack-2020-one-thousand-data-scientists-join-hands-across-closed-borders/,2021-03-01,Organiser publication,Primary,Unknown,2026-08-26,"UmojaHack Africa #1: Saturday 22 March 2020; 1000 students from 56 universities in 15 African countries; ~$20k prizes (Microsoft, African Bank, Google AI, GIZ, Liquid Telecom, InstaDeep et al.); winners from Stellenbosch University and University of Cape Town (SA) and SUPCOM (Tunisia) — individual names not published",Moderate
EV0040,Unknown,Unknown,"Desmond Mongwe: Java developer of 12 years; photo caption confirms MoWallet winner, Pieters runner-up; awards at Wits University 8 July 2015",GALLERY: Meet the Hack Jozi Winners,Citizen (Northcliff Melville Times),https://www.citizen.co.za/northcliff-melville-times/202513/meet-the-hack-jozi-winners/,2015-07-09,News article,Secondary,Unknown,2026-08-26,"Desmond Mongwe: Java developer of 12 years; photo caption confirms MoWallet winner, Pieters runner-up; awards at Wits University 8 July 2015",Moderate
EV0041,Unknown,E115,"zindi.world is the live Zindi platform: 100,000+ AI builders from 185+ countries, 590+ AI challenges, $1M+ prizes awarded; partners incl. Microsoft, Google, AWS, Google DeepMind, I",Zindi platform scan — landing + competitions index,Zindi (zindi.world),https://zindi.world/,2026-08-26 (scan),Competition platform,Primary,Unknown,2026-08-26,"zindi.world is the live Zindi platform: 100,000+ AI builders from 185+ countries, 590+ AI challenges, $1M+ prizes awarded; partners incl. Microsoft, Google, AWS, Google DeepMind, ITU. The /competitions index is JavaScript-loaded (no static enumeration); extraction done per competition page. Zindi runs hackathon formats: UmojaHack series and #ZindiWeekendz weekend sprints",Contextual
EV0042,Unknown,E115,"#ZindiWeekendz Urban Air Pollution (60-hour virtual hackathon, Apr 2020): 254 data scientists; winners 1st devnikhilmishra (India), 2nd Team Covidata (Tunisia), 3rd Klai (Tunisia) ",Meet the winners of the #ZindiWeekendz Urban Air Pollution Challenge,Zindi,https://zindi.africa/learn/meet-the-winners-of-the-zindiweekendz-the-urban-air-pollution-challenge,2020-06-25,Organiser publication,Primary,Unknown,2026-08-26,"#ZindiWeekendz Urban Air Pollution (60-hour virtual hackathon, Apr 2020): 254 data scientists; winners 1st devnikhilmishra (India), 2nd Team Covidata (Tunisia), 3rd Klai (Tunisia) — no SA winners in top 3; re-opened as knowledge competition",Moderate
EV0043,P0016 ; P0019 ; P0020,E020,Finals at Comic Con Africa: champion Kobus van Schoor; Willie Theron 2nd; Tian Cilliers 3rd; top 8,Entelect LinkedIn post: 2022 Entelect Challenge finals,Entelect (LinkedIn),https://za.linkedin.com/posts/entelect_entelectchallenge-coding-competition-activity-6980752619631726592-YSb8,2022-09-28,Organiser social post,Primary,Unknown,2026-08-26,Finals at Comic Con Africa: champion Kobus van Schoor; Willie Theron 2nd; Tian Cilliers 3rd; top 8,Moderate
EV0044,Unknown,E115,"#ZindiWeekendz vaccination-sentiment challenge (60-hour virtual hackathon, 2020): 222 data scientists; winners 1st devnikhilmishra (India), 2nd Muhamed_Tuo (Côte d'Ivoire), 3rd Raj",Meet the winners of the #ZindiWeekendz To Vaccinate or Not to Vaccinate challenge,Zindi,https://zindi.africa/learn/meet-the-winners-of-the-zindiweekendz-to-vaccinate-or-not-to-vaccinate-its-not-a-question-challenge,2020,Organiser publication,Primary,Unknown,2026-08-26,"#ZindiWeekendz vaccination-sentiment challenge (60-hour virtual hackathon, 2020): 222 data scientists; winners 1st devnikhilmishra (India), 2nd Muhamed_Tuo (Côte d'Ivoire), 3rd Rajat_Ranjan (India) — no SA winners in top 3",Moderate
EV0045,Unknown,E114,"UmojaHack Africa 2023 (18-19 Mar 2023): BEGINNER winners 1 Koleshjr, 2 Team Chocolatine, 3 Jamali_Adam (platform usernames); one-prize-per-university rule; teams up to 4 from same ",UmojaHack Africa 2023: CO2 Prediction (BEGINNER) — winners,Zindi,https://zindi.africa/competitions/umojahack-africa-2023-beginner-challenge,2023-03-19,Competition platform,Primary,Unknown,2026-08-26,"UmojaHack Africa 2023 (18-19 Mar 2023): BEGINNER winners 1 Koleshjr, 2 Team Chocolatine, 3 Jamali_Adam (platform usernames); one-prize-per-university rule; teams up to 4 from same institution",Moderate
EV0046,Unknown,E114,"ADVANCED winners 1 Team TheSun/Nebu/Azzo, 2 Team PAYASS.io, 3 Team Pro Crusty Nation; INTERMEDIATE winners 1 Team DSTune, 2 Team Solo, 3 Team Chat_PPT. Country winners list include",UmojaHack Africa 2023: Rubik's Cube RL (ADVANCED) — winners + country list,Zindi,https://zindi.africa/competitions/umojahack-africa-2023-advanced-challenge,2023-03-19,Competition platform,Primary,Unknown,2026-08-26,"ADVANCED winners 1 Team TheSun/Nebu/Azzo, 2 Team PAYASS.io, 3 Team Pro Crusty Nation; INTERMEDIATE winners 1 Team DSTune, 2 Team Solo, 3 Team Chat_PPT. Country winners list includes 'South Africa: Olayile' (platform username — real identity not published; pseudonym rule applies)",Moderate
EV0047,Unknown,Unknown,UmojaHack Africa 2022 winner identified as Victor Olufemi (handle 'Professor'); interned with AirQo (UHA22 data sponsor) post-win. Nationality/SA-connection not stated — not inferr,'Collaboration and networking at Zindi events is more powerful than prize money' — 2022 winner Victor Olufemi,Zindi (Medium),https://zindi.medium.com/collaboration-and-networking-at-zindi-events-is-more-powerful-than-prize-money-c2028d19572c,2023-03-16,Organiser publication,Primary,Unknown,2026-08-26,UmojaHack Africa 2022 winner identified as Victor Olufemi (handle 'Professor'); interned with AirQo (UHA22 data sponsor) post-win. Nationality/SA-connection not stated — not inferred,Moderate
EV0048,P0346,E113,"UmojaHack #3 (UmojaHack Africa, 21 March 2020 per this page): Hotspots Challenge — 624 entrants; 1st GFrost = Geoffrey Frost, FROM SOUTH AFRICA, final-year Electrical & Electronic ",Meet the winners of UmojaHack #3: Hotspots Challenge,Zindi,https://zindi.africa/learn/meet-the-winners-of-umojahack-3-hotspots-challenge,2020,Organiser publication,Primary,Unknown,2026-08-26,"UmojaHack #3 (UmojaHack Africa, 21 March 2020 per this page): Hotspots Challenge — 624 entrants; 1st GFrost = Geoffrey Frost, FROM SOUTH AFRICA, final-year Electrical & Electronic Engineering student at Stellenbosch University (self-stated on Zindi profile context); 2nd Lawrence Moruye (Kenya); 3rd Brainiac (Kenya). NOTE: this page dates the event 21 March; the UmojaHack 2020 recap says 22 March (minor discrepancy logged)",Strong
EV0049,P0347,E103,DeepHealth (end-to-end health management system; Django/Kotlin/TensorFlow/POPI-aware) started by Devpost user Mabu Manaileng ('started this project'). Page shows 4 likes — likes ar,DeepHealth — Devpost project page (#IgniteHack 2018 submission),Devpost,https://devpost.com/software/deephealth,2018,Competition platform,Primary,Unknown,2026-08-26,DeepHealth (end-to-end health management system; Django/Kotlin/TensorFlow/POPI-aware) started by Devpost user Mabu Manaileng ('started this project'). Page shows 4 likes — likes are NOT treated as team membership per census rules. No winner badge on page,Moderate
EV0050,Unknown,E019,Confirms 2019 Entelect Challenge game was 'Worms (or a strange mutation thereof)' and finals hosted at Comic Con Africa 2019; no finalist names in article,Comic Con Africa 2019 — Entelect Challenge finals coverage,KeenGamer,https://www.keengamer.com/articles/features/reportages/comic-con-africa-2019/,2019-12-10 (published),Sector media,Secondary,Unknown,2026-08-26,Confirms 2019 Entelect Challenge game was 'Worms (or a strange mutation thereof)' and finals hosted at Comic Con Africa 2019; no finalist names in article,Weak (contextual)
EV0051,P0014 ; P0016 ; P0019 ; P0021,E021,"2023 game Cy-Fi; 1st Purpose Katakwa (bot mari.ai, R70k); 2nd Kobus van Schoor; 3rd Anesu Jairosi; 8 finalists; 'now in its 11th year'",Entelect Challenge 2023: Finals at Comic-Con Africa,Entelect (culture.entelect.co.za),https://culture.entelect.co.za/stories/entelect-challenge-2023-finals-at-comic-con-africa/,2023-12-05,Organiser announcement,Primary,Unknown,2026-08-26,"2023 game Cy-Fi; 1st Purpose Katakwa (bot mari.ai, R70k); 2nd Kobus van Schoor; 3rd Anesu Jairosi; 8 finalists; 'now in its 11th year'",Strong
EV0052,P0016 ; P0019 ; P0022 ; P0023 ; P0024 ; P0025 ; P0026 ; P0027,E022,1 Willie Theron R70k; 2 Riaan Nel R35k; 3 Marvin Thobejane R25k; 4 Jesse Bristow; 5 Kobus Van Schoor; 6 Scott Schultz; 7 Jean-Paul De Conceicao; 8 Aneso Jairosi; game Sproutopia; ',2024 Entelect challenge finals: South Africa's top coders battle it out at Comic Con Africa,MyBroadband,https://mybroadband.co.za/news/industrynews/564860-2024-entelect-challenge-finals-south-africas-top-coders-battle-it-out-at-comic-con-africa.html,2024-10-11,News article,Secondary,Unknown,2026-08-26,1 Willie Theron R70k; 2 Riaan Nel R35k; 3 Marvin Thobejane R25k; 4 Jesse Bristow; 5 Kobus Van Schoor; 6 Scott Schultz; 7 Jean-Paul De Conceicao; 8 Aneso Jairosi; game Sproutopia; '13th year',Strong
EV0053,P0018,E019,"Author's bot MrLavaLava placed 3rd in 2019 Entelect Challenge (finals Comic Con Africa, top 8 share R200k); author's real name not stated on page",Entelect challenge 2019 (personal blog),japeyjapes (WordPress),https://japeyjapes.wordpress.com/2019/09/24/entelect-challenge-2019/,2019-09-24,Participant blog,Participant-generated,Unknown,2026-08-26,"Author's bot MrLavaLava placed 3rd in 2019 Entelect Challenge (finals Comic Con Africa, top 8 share R200k); author's real name not stated on page",Moderate
EV0054,P0028 ; P0029 ; P0030 ; P0031 ; P0032 ; P0033 ; P0034 ; P0035 ; P0036 ; P0037 ; P0038 ; P0039,E012,"Named participants for Cape Town (Codebridge), Durban (The Green Door) and Pretoria (Innovation Hub) Hack4Water hackathons; teams incl. Fix It. NOTE: page captured via search snaps",{code}bridge — Hack4Water hackathons (participant lists),{code}bridge / Code for South Africa,https://www.codebridge.co.za/allevents/hack4water-hack4water-hackathons.html,2016,Organiser page,Primary,Unknown,2026-08-26,"Named participants for Cape Town (Codebridge), Durban (The Green Door) and Pretoria (Innovation Hub) Hack4Water hackathons; teams incl. Fix It. NOTE: page captured via search snapshot 2026-08-26 (direct fetch failed; URL as indexed may differ — re-verify)",Moderate
EV0055,Unknown,E012 ; E013,Cape Town hackathon weekend part of nationwide Hack4Water challenge with Dept of Water & Sanitation + Open Government Partnership,Hack4Water Hackathon,Code for South Africa (code4sa.org),https://code4sa.org/2016/04/04/hack4water-hackathon.html,2016-04-04,Organiser blog,Primary,Unknown,2026-08-26,Cape Town hackathon weekend part of nationwide Hack4Water challenge with Dept of Water & Sanitation + Open Government Partnership,Moderate
EV0056,P0069 ; P0070 ; P0071 ; P0072 ; P0073 ; P0074,E008,"Top 3: 1 Geekulcha electronics app; 2 UNISA MyCampus Buildings; 3 P-STEM portal. Awards: Kutlwano Kemisho (best female hacker), Josiah Masango (best hacking spirit), Lehlogonolo Sa",RHoK Pretoria 2014 — Hacking for Humanity,mLab,https://mlab.co.za/news/rhok-pretoria-2014-hacking-for-humanity/,2014,Organiser blog,Primary,Unknown,2026-08-26,"Top 3: 1 Geekulcha electronics app; 2 UNISA MyCampus Buildings; 3 P-STEM portal. Awards: Kutlwano Kemisho (best female hacker), Josiah Masango (best hacking spirit), Lehlogonolo Sathekge (best social media), Desiree Mampane (best tweet), Diamond Mubaraack, Joao Nzango (GeekStar)",Strong
EV0057,Unknown,E003,"RHoK Johannesburg 30 Nov–1 Dec 2013 at ThoughtWorks, 17 Melle St, Braamfontein; organiser thread mentions Andreas Pauley; RHoK Pretoria same weekend",Random Hacks of Kindness — Johannesburg / Pretoria (Google Group thread),lambda-luminaries (Google Groups),https://groups.google.com/g/lambda-luminaries/c/t6sthhWGUzg,2013,Community announcement,Primary,Unknown,2026-08-26,"RHoK Johannesburg 30 Nov–1 Dec 2013 at ThoughtWorks, 17 Melle St, Braamfontein; organiser thread mentions Andreas Pauley; RHoK Pretoria same weekend",Moderate
EV0058,Unknown,E001,RHoK 3.0 events held twice in 2012 (June & December) 'saw multiple cities... including Cape Town',Random Hacks of Kindness — Wikipedia,Wikipedia,https://en.wikipedia.org/wiki/Random_Hacks_of_Kindness,2026,Encyclopedia,Secondary,Unknown,2026-08-26,RHoK 3.0 events held twice in 2012 (June & December) 'saw multiple cities... including Cape Town',Moderate
EV0059,Unknown,E002,SA leg 20-21 Apr 2013: main event mLab Pretoria; virtual sites Stellenbosch & Cape Town. Local awards: The Blue Marble (Space Decode); Database of Near Earth Objects (Solar system ,International Space Apps Challenge 2013 — Johannesburg/Pretoria location page,NASA Space Apps (2013 archive),https://2013.spaceappschallenge.org/location/johannesburg,2013,Competition platform,Primary,Unknown,2026-08-26,SA leg 20-21 Apr 2013: main event mLab Pretoria; virtual sites Stellenbosch & Cape Town. Local awards: The Blue Marble (Space Decode); Database of Near Earth Objects (Solar system simulator); Reach for the Stars (Augmented Solar System); Smart Cities & Smart Climate (SmartT Resources),Strong
EV0060,P0075,E004,"Hacking Health Cape Town, 24-25 Jan 2014, Groote Schuur Hospital; 100+ participants, 30 challenges, 10 teams; winner ECTracker led by medical student Farah Jawitz; organised by UCT",Hacking healthcare in South Africa,MaRS Discovery District,https://marsdd.com/news-and-insights/hacking-healthcare-south-africa,2014-02-19,Sector publication,Secondary,Unknown,2026-08-26,"Hacking Health Cape Town, 24-25 Jan 2014, Groote Schuur Hospital; 100+ participants, 30 challenges, 10 teams; winner ECTracker led by medical student Farah Jawitz; organised by UCT Inclusive Healthcare Innovation Initiative + Hacking Health + Medic Mobile",Strong
EV0061,P0076 ; P0077 ; P0078 ; P0079 ; P0080,E005,"Cape Town at 22seven offices, 40+ participants; winning group 'Pulse' (Active Citizen challenge): Alek Gallo, Bruce Bassett, Riccardo Iovino, Michael Graaf, Coenraad Loubser (mobil",#GovHackSA hackathon report,mLab,https://mlab.co.za/news/govhacksa/,2014-05-26,Organiser blog,Primary,Unknown,2026-08-26,"Cape Town at 22seven offices, 40+ participants; winning group 'Pulse' (Active Citizen challenge): Alek Gallo, Bruce Bassett, Riccardo Iovino, Michael Graaf, Coenraad Loubser (mobile micro-polling platform); judges incl. Brett St Clair (Google), Cllr Garreth Bloor",Strong
EV0062,P0081 ; P0082 ; P0083 ; P0084,E006,"First-ever Discovery GradHack 2014 won by UJ ACSSE team Health Ninjas: Michael Wright, Egbert van der Westhuizen, Lourens Badenhorst, Martin Trollip (Vitality-focused Android app)",UJ students won Discovery IT Graduate Hackathon,University of Johannesburg,https://news.uj.ac.za/news/uj-students-won-discovery-it-graduate-hackathon-2/,2014-08-04,University news,Primary,Unknown,2026-08-26,"First-ever Discovery GradHack 2014 won by UJ ACSSE team Health Ninjas: Michael Wright, Egbert van der Westhuizen, Lourens Badenhorst, Martin Trollip (Vitality-focused Android app)",Strong
EV0063,Unknown,E006 ; E007 ; E029,UJ ACSSE students won Discovery GradHack national finals in 2014 and 2015; also won Microsoft Imagine Cup SA national finals four times in six years,South African Engineers expose Discovery Vitality cheaters,The Techieguy,https://thetechieguy.com/south-african-engineers-expose-discovery-vitality-cheaters/,2015-08-26,Tech blog,Secondary,Unknown,2026-08-26,UJ ACSSE students won Discovery GradHack national finals in 2014 and 2015; also won Microsoft Imagine Cup SA national finals four times in six years,Moderate
EV0064,P0085 ; P0086 ; P0087 ; P0088 ; P0089,E023,"2016 GradHack winner Team Bithealth (UJ ACSSE): Kyle Alexander, Jihyun Byun, Jacques Oosthuizen, Mario da Silva, Shaun Van Wyk; third consecutive UJ win",Discovery Hackathon hat trick for UJ ACSSE students,University of Johannesburg,https://news.uj.ac.za/news/discovery-hackathon-hat-trick-for-uj-acsse-students-2/,2016-12-14,University news,Primary,Unknown,2026-08-26,"2016 GradHack winner Team Bithealth (UJ ACSSE): Kyle Alexander, Jihyun Byun, Jacques Oosthuizen, Mario da Silva, Shaun Van Wyk; third consecutive UJ win",Strong
EV0065,P0090 ; P0091 ; P0092 ; P0093,E024 ; E025,"2018 Discovery GradHack (JHB, 48h) winner: UCT IS honours team PayDay — Natasha Oates, Nasiha Ally, Ryan Tripod, Zack Zornitta; beat 10 other pitches; UCT IS also won 2017 edition;",UCT team wins national hackathon,University of Cape Town,https://www.news.uct.ac.za/article/-2018-07-13-uct-team-wins-national-hackathon,2018-07-13,University news,Primary,Unknown,2026-08-26,"2018 Discovery GradHack (JHB, 48h) winner: UCT IS honours team PayDay — Natasha Oates, Nasiha Ally, Ryan Tripod, Zack Zornitta; beat 10 other pitches; UCT IS also won 2017 edition; prize = guaranteed Discovery employment",Strong
EV0066,P0094 ; P0095 ; P0096 ; P0097,E026,"2021 GradHack winner NWU Team NeuroTech: Rudi Dreyer, Chris Neuhoff, Franco Bester, Ivan Pretorius (R10k each + R50k to NWU)",NWU students win Discovery GradHack (EISH magazine),North-West University,https://www.nwu.ac.za/sites/www.nwu.ac.za/files/files/i-media/I-eish-202110/students.html,2021-10,University news,Primary,Unknown,2026-08-26,"2021 GradHack winner NWU Team NeuroTech: Rudi Dreyer, Chris Neuhoff, Franco Bester, Ivan Pretorius (R10k each + R50k to NWU)",Strong
EV0067,P0098 ; P0099 ; P0100 ; P0101 ; P0102 ; P0103 ; P0104 ; P0105 ; P0106 ; P0107,E027,"2024 winner Team Cookout (UCT): Jordy Kafwe, Ben Cleveland, Yohannes Gebremeskel Libelo, Maesela Katlego Sekoele (SafeRoute app); top-3 Team Silicon Slippers: Michael Gamsu, Boitum",UCT wins Discovery GradHack,University of Cape Town (School of IT),https://sit.uct.ac.za/articles/2024-07-24-uct-wins-discovery-gradhack,2024-07-24,University news,Primary,Unknown,2026-08-26,"2024 winner Team Cookout (UCT): Jordy Kafwe, Ben Cleveland, Yohannes Gebremeskel Libelo, Maesela Katlego Sekoele (SafeRoute app); top-3 Team Silicon Slippers: Michael Gamsu, Boitumelo Mokoka, Ryan Murphy",Strong
EV0068,P0105 ; P0106 ; P0107,E027 ; E029,"NWU team Tasmiyah Nakooda, Ulysses Makubika, Zaid Asvat among top-3 finalists of 72-hour virtual GradHack 2024 (50 students, 16 teams); AI lung-disease detection project; permanent",Students' IT prowess lands them jobs at Discovery,North-West University,https://news.nwu.ac.za/students-it-prowess-lands-them-jobs-discovery,2024-08-19,University news,Primary,Unknown,2026-08-26,"NWU team Tasmiyah Nakooda, Ulysses Makubika, Zaid Asvat among top-3 finalists of 72-hour virtual GradHack 2024 (50 students, 16 teams); AI lung-disease detection project; permanent Discovery jobs",Strong
EV0069,P0108 ; P0109 ; P0110 ; P0111,E028,"2025 winner VitaliTeam (SU): Mia Olivier, Kayleigh Koekemoer, Jaime Kruger, David Nicolay; R15k each + R50k; finals at Discovery HQ Sandton",BDatSci Final-Years Win the 2025 Discovery GradHack,Stellenbosch University,https://www.su.ac.za/en/faculties/economy/news/bdatsci-final-years-win-2025-discovery-gradhack,2025-11-11,University news,Primary,Unknown,2026-08-26,"2025 winner VitaliTeam (SU): Mia Olivier, Kayleigh Koekemoer, Jaime Kruger, David Nicolay; R15k each + R50k; finals at Discovery HQ Sandton",Strong
EV0070,P0112 ; P0113 ; P0114 ; P0115 ; P0116 ; P0117 ; P0118 ; P0119,E030,"2021 SU hackathon (mentors from Entersekt & Capitec): FinTech challenge winner LaTeX on the Beach (Simeon Boshoff, Nadia van Niekerk, Lauren Abrahall, Daniel Olivier, Simon Steven)",SU hackathon goes in a new direction,Die Matie (MatieMedia),https://www.matiemedia.org/su-hackathon-goes-in-a-new-direction/,2021-10-19,Student newspaper,Secondary,Unknown,2026-08-26,"2021 SU hackathon (mentors from Entersekt & Capitec): FinTech challenge winner LaTeX on the Beach (Simeon Boshoff, Nadia van Niekerk, Lauren Abrahall, Daniel Olivier, Simon Steven); data challenge winner Designated Derivers (Lance Davids, Musa Maboea, Thamu Mnyulwa); R8k each",Strong
EV0071,P0120 ; P0121 ; P0122 ; P0123 ; P0124 ; P0125,E031,"2024 SU LaunchLab/InnovUS hackathon (40 hours, cloud cost management, 9 teams/49 participants): winner Team Apollo — Emma Sharratt, Divan van der Bank, Retief Louw, Dgibrilly Mutab",SU students tackle data challenge in 40 hours,Stellenbosch University (SMF News),https://www.smfnews.org/su-students-tackle-data-challenge-in-40-hours/,2024-08-29,University news,Secondary,Unknown,2026-08-26,"2024 SU LaunchLab/InnovUS hackathon (40 hours, cloud cost management, 9 teams/49 participants): winner Team Apollo — Emma Sharratt, Divan van der Bank, Retief Louw, Dgibrilly Mutabazi, Kharendwe Makhani, Kabelo Maphutha (R7,500)",Strong
EV0072,P0126 ; P0127 ; P0128 ; P0129,E032 ; E033,"2nd annual MiWay 24-hours Actuarial Hackathon (25 students, 5 universities): 1st Matt Lourens & Dehan Opperman (NWU masters) R20k; 2nd Christian Hitchcock (UP) R5k; 3rd Lebogang Mo",Two North-West University students win Miway 24-hour hackathon,MiWay,https://www.miway.co.za/blog/in-the-news/two-north-west-university-students-win-miway-24-hour-hackathon,2019-04-16,Corporate news,Primary,Unknown,2026-08-26,"2nd annual MiWay 24-hours Actuarial Hackathon (25 students, 5 universities): 1st Matt Lourens & Dehan Opperman (NWU masters) R20k; 2nd Christian Hitchcock (UP) R5k; 3rd Lebogang Moremi (UP) R3k; predictive customer retention modelling",Strong
EV0073,P0126 ; P0127,E032,Confirms Matt Lourens and Dehan Opperman won 2nd MiWay 24-hours Actuarial Hackathon,NWU duo wins 24-hour hackathon competition,North-West University,https://news.nwu.ac.za/nwu-duo-wins-24-hour-hackathon-competition,2019,University news,Primary,Unknown,2026-08-26,Confirms Matt Lourens and Dehan Opperman won 2nd MiWay 24-hours Actuarial Hackathon,Strong
EV0074,Unknown,E014,NWU hackday 2016: 'greenhouse project' and 'virtual museum' teams won (prize: Raspberry Pi 3 model B per team member),NWU IT News 2016 (PDF),North-West University IT Services,https://services.nwu.ac.za/sites/services.nwu.ac.za/files/files/information-technology/news/IT-News2016.pdf,2016,Institutional PDF,Primary,Unknown,2026-08-26,NWU hackday 2016: 'greenhouse project' and 'virtual museum' teams won (prize: Raspberry Pi 3 model B per team member),Moderate
EV0075,P0130 ; P0131 ; P0132 ; P0133,E036,"UniHack 2024 (early July, students from four Western Cape universities): 1st Edu Elevators — Andile Masela, Michael Maseko, Olerato Motaung, Nkuleko Nhlapo (AI WhatsApp tutor chatb",Standard Bank UniHack inspires young developers,ITWeb,https://www.itweb.co.za/article/standard-bank-unihack-inspires-young-developers/Kjlyr7wBmLXvk6am,2024-07-10,News article,Secondary,Unknown,2026-08-26,"UniHack 2024 (early July, students from four Western Cape universities): 1st Edu Elevators — Andile Masela, Michael Maseko, Olerato Motaung, Nkuleko Nhlapo (AI WhatsApp tutor chatbot); 2nd Health Guardians; 3rd EduDev",Strong
EV0076,P0134 ; P0135 ; P0136 ; P0137 ; P0138,E037 ; E038,"UniHack 2025 (Cape Town, 13 teams): 1st High Five team ('Handy' sign-language app) — Justin Dietrich, Vutivi Makubela, Bailey Mc Jarrow (Stellenbosch), Oluphi Vukaphi, Nabeelah Kha",Standard Bank Concludes Third Annual UniHack Competition,Standard Bank,https://www.standardbank.co.za/southafrica/news-and-media/newsroom/standard-bank-concludes-third-annual-unihack-competition,2025-04-07,Corporate news,Primary,Unknown,2026-08-26,"UniHack 2025 (Cape Town, 13 teams): 1st High Five team ('Handy' sign-language app) — Justin Dietrich, Vutivi Makubela, Bailey Mc Jarrow (Stellenbosch), Oluphi Vukaphi, Nabeelah Khan (UWC); 2nd My EduVault; 3rd AI Mental Health Solution",Strong
EV0077,P0134 ; P0135 ; P0136 ; P0137 ; P0138,E037,Corroborates UniHack 2025 winners and Cape Town venue; two-day competition,Standard Bank announces UniHack competition winners,ITWeb,https://www.itweb.co.za/article/standard-bank-announces-unihack-competition-winners/KPNG878NPjDq4mwD,2025-04-08,News article,Secondary,Unknown,2026-08-26,Corroborates UniHack 2025 winners and Cape Town venue; two-day competition,Strong
EV0078,Unknown,E039 ; E041,10th annual Kuunda Disrupt Hackathon (Standard Bank employee event): overall winner DigiTrade (Ghana CIB); 395 proposals from 20 markets; top 45 teams/230+ hackers,Standard Bank Ghana's CIB team wins employee hackathon,ITWeb Africa,https://itweb.africa/content/6GxRKMYQlmBMb3Wj,2024-09-16,News article,Secondary,Unknown,2026-08-26,10th annual Kuunda Disrupt Hackathon (Standard Bank employee event): overall winner DigiTrade (Ghana CIB); 395 proposals from 20 markets; top 45 teams/230+ hackers,Moderate
EV0079,Unknown,E040,"11th Kuunda Disrupt Hackathon, Johannesburg, 244 participants from 20 African countries, 3 days; SA winners unnamed (AI lead-ranking solution; agentic AI tool)",The winning AI solutions at this year's Standard Bank hackathon,htxt.africa,https://htxt.co.za/2025/09/the-winning-ai-solutions-at-this-years-standard-bank-hackathon/,2025-09-26,Tech media,Secondary,Unknown,2026-08-26,"11th Kuunda Disrupt Hackathon, Johannesburg, 244 participants from 20 African countries, 3 days; SA winners unnamed (AI lead-ranking solution; agentic AI tool)",Moderate
EV0080,Unknown,E041 ; E042,"Durban schools STEAM competition at Gordon Road Girls' School (19 schools): 1st 'The Recycling Rangers' — 12 Effingham Heights Primary pupils, 'Smart Eco Bin' (Raspberry Pi-based)",Effingham Heights Primary School wins prestigious Standard Bank Kuunda Disrupt Competition,IOL / Daily News,https://www.iol.co.za/dailynews/news/effingham-heights-primary-school-wins-prestigious-standard-bank-kuunda-disrupt-competition-d361b66e-fdf8-41e6-a574-af1a9137a840,2024-12-04,News article,Secondary,Unknown,2026-08-26,"Durban schools STEAM competition at Gordon Road Girls' School (19 schools): 1st 'The Recycling Rangers' — 12 Effingham Heights Primary pupils, 'Smart Eco Bin' (Raspberry Pi-based)",Moderate
EV0081,Unknown,E043,"MTN MoMo API Hackathon 2023 SA (31 Jul–9 Oct 2023): winners Zaka (cashflow financing), Tata Imali (2nd, micro-lending), MoLo (3rd, P2P lending); $10k prize pool; developer names no",Discover the future: MTN MoMo API Hackathon unveils trailblazing innovations,IOL,https://www.iol.co.za/technology/techsperts/discover-the-future-mtn-momo-api-hackathon-unveils-trailblazing-innovations-695051ba-a05d-44d5-b2e0-41627d1cacd6,2024-04-23,News article,Secondary,Unknown,2026-08-26,"MTN MoMo API Hackathon 2023 SA (31 Jul–9 Oct 2023): winners Zaka (cashflow financing), Tata Imali (2nd, micro-lending), MoLo (3rd, P2P lending); $10k prize pool; developer names not published in these sources",Moderate
